,name,nickname,wins_x,losses_x,draws_x,height_x,weight,reach_x,stance,dOB,sig_strikes_landed_per_min,sig_striking_accuracy_%,sig_strike_absorbed_per_min,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent),takedown_average(average_takedown_landed_per_fifteen_min),takedown_accuracy_%,takedown_defense(%_of_opponent_takedown_not_landed),sub_average(average_subs_attempted_per_15_mins),wins_y,losses_y,draws_y,height_y,reach_y,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time,_merge
20,Aaron Wilkinson,The Daywalker,11.0,7.0,0,"5' 10""",155 lbs.,--,Orthodox,"Jan 31, 1987",0.0,0%,0.0,100%,7.32,100%,0%,0.0,6.0,4.0,0.0,72.0,,,United Kingdom,0%,0 of 1,100%,,0.0,7.32,100%,0.0,0.0,0.0,,02:03,both
21,Abdul Azeem Badakhshi,The Afghan Lion,13.0,3.0,0,--,145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,,,27.0,"Badakhshan, Afghanistan",,,17%,,,,,,,,,00:00,both
22,Abdul Razak Alhassan,630,12.0,6.0,0,"5' 10""",185 lbs.,"73""",Orthodox,"Aug 11, 1985",3.37,48%,3.99,55%,0.89,38%,50%,0.2,12.0,6.0,0.0,70.0,73.0,38.0,Ghana,48%,285 of 589,38%,1 of 13,3.37,0.89,56%,1.78,3.99,0.18,51%,06:30,both
23,AbdulKareem AlSelwady,Pride of Palestine,15.0,4.0,0,"5' 8""",155 lbs.,"69""",Orthodox,"Apr 10, 1995",4.14,34%,3.6,59%,2.32,30%,20%,0.0,15.0,4.0,0.0,68.0,69.0,28.0,"Baton Rouge, United States",35%,107 of 309,31%,3 of 13,4.14,2.32,59%,0.0,3.6,0.0,20%,12:55,both
24,AbdulKerim Edilov,201,17.0,4.0,0,"6' 2""",205 lbs.,--,Orthodox,"Nov 25, 1991",10.22,61%,0.13,92%,3.98,100%,0%,2.0,16.0,4.0,0.0,74.0,78.0,31.0,"Chechnya, Russia",62%,77 of 125,100%,2 of 2,10.22,3.98,92%,0.0,0.13,1.99,,07:32,both
26,Abel Trujillo,Killa,15.0,8.0,0 (1 NC),"5' 8""",155 lbs.,"70""",Orthodox,"Sep 18, 1983",2.65,41%,2.31,59%,2.18,45%,40%,0.4,15.0,8.0,0.0,68.0,70.0,39.0,"Greensboro, United States",41%,273 of 662,45%,15 of 33,2.65,2.18,60%,0.44,2.31,0.44,40%,09:23,both
27,Abner Lloveras,Skullman,20.0,9.0,1,"5' 11""",155 lbs.,--,,"Sep 04, 1982",6.27,49%,6.87,43%,2.0,20%,0%,0.0,19.0,8.0,1.0,71.0,,40.0,"Barcelona, Spain",50%,94 of 189,20%,,6.27,2.0,43%,0.0,6.87,0.0,,15:00,both
30,Abu Azaitar,Captain Morocco,14.0,4.0,1,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986",4.38,43%,4.32,51%,1.0,37%,42%,0.0,14.0,4.0,1.0,69.0,76.0,37.0,"Rabat, Morocco",43%,197 of 453,38%,1 of 8,4.38,1.0,51%,0.0,4.32,0.0,43%,14:59,both
31,Abubakar Nurmagomedov,556,17.0,4.0,1,"5' 11""",170 lbs.,"72""",Orthodox,"Nov 13, 1989",2.78,53%,2.61,65%,1.25,22%,88%,0.0,17.0,4.0,1.0,71.0,72.0,33.0,"Republic of Dagestan, Russia",53%,133 of 250,22%,1 of 18,2.78,1.25,65%,0.0,2.61,0.0,89%,11:58,both
32,Abus Magomedov,455,25.0,6.0,1,"6' 2""",185 lbs.,"78""",Orthodox,"Sep 02, 1990",3.73,42%,5.36,54%,0.61,50%,100%,0.0,25.0,6.0,1.0,74.0,78.0,33.0,"Argun, Russia",43%,92 of 215,50%,,3.73,0.61,55%,0.61,5.36,0.0,100%,08:13,both
35,Achilles Estremadura,212,7.0,1.0,0,"5' 10""",155 lbs.,"68""",Orthodox,"Mar 11, 1992",3.2,43%,3.27,70%,0.0,0%,0%,0.0,0.0,1.0,0.0,70.0,68.0,31.0,"Vancouver, Canada",43%,48 of 111,,,3.2,0.0,70%,0.0,3.27,0.0,,15:00,both
37,Adam Antolin,Captain Chaos,12.0,3.0,0,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",5.73,52%,5.0,69%,0.0,0%,100%,0.0,13.0,3.0,0.0,65.0,,41.0,"San Jose, United States",52%,86 of 165,0%,,5.73,0.0,69%,0.0,5.0,0.0,100%,05:45,both
38,Adam Cella,El Naturel,6.0,8.0,0,"6' 2""",170 lbs.,--,,"Jun 26, 1985",1.91,42%,2.61,51%,3.92,75%,50%,1.3,4.0,1.0,0.0,74.0,,37.0,"St. Louis, United States",42%,44 of 104,75%,,1.91,3.92,51%,0.0,2.61,1.31,50%,07:40,both
39,Adam Fugitt,241,9.0,4.0,0,"6' 1""",170 lbs.,"77""",Southpaw,"Jan 12, 1989",4.3,54%,5.13,48%,3.43,33%,50%,0.0,9.0,4.0,0.0,73.0,77.0,34.0,"Eugene, United States",54%,94 of 174,33%,1 of 15,4.3,3.43,48%,0.0,5.13,0.0,50%,07:17,both
40,Adam Hunter,Warhammer,7.0,1.0,0,"6' 1""",185 lbs.,--,Orthodox,"Oct 16, 1983",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,73.0,73.0,39.0,"Sault Ste. Marie, Canada",,,56%,7 of 18,,,,,,,,00:00,both
41,Adam Khaliev,380,6.0,0.0,0,"6' 0""",170 lbs.,--,Orthodox,"Apr 16, 1984",0.0,0%,0.0,0%,0.0,0%,0%,0.0,6.0,0.0,0.0,70.0,,39.0,"ACCP/USSR, Russia",,,42%,35 of 108,,,,,,,,00:00,both
44,Adam Milstead,The Prototype,8.0,4.0,0,"6' 3""",205 lbs.,"76""",Orthodox,"Jul 03, 1987",3.85,46%,4.79,43%,0.0,0%,64%,0.0,8.0,3.0,0.0,75.0,76.0,35.0,"Prince Frederick, United States",47%,127 of 271,,,3.85,0.0,43%,0.0,4.79,0.0,64%,08:15,both
49,Adam Wieczorek,Siwy,10.0,2.0,0,"6' 5""",250 lbs.,"81""",Orthodox,"Feb 05, 1992",1.68,38%,1.87,48%,0.41,33%,58%,0.4,10.0,2.0,0.0,77.0,81.0,31.0,"Chorzow, Poland",39%,62 of 160,33%,,1.68,0.41,49%,0.0,1.87,0.41,59%,12:20,both
50,Adam Yandiev,Boroda,9.0,1.0,0,"5' 9""",185 lbs.,"74""",Orthodox,"Aug 07, 1988",0.18,8%,6.14,36%,0.0,0%,25%,0.0,9.0,1.0,0.0,69.0,74.0,34.0,,8%,1 of 12,,,0.18,0.0,36%,0.0,6.14,0.0,25%,05:42,both
52,Adlan Amagov,Borz,14.0,2.0,1,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",3.29,47%,0.82,78%,5.84,56%,100%,0.0,13.0,2.0,1.0,74.0,,36.0,Russia,48%,76 of 159,56%,,3.29,5.84,79%,1.3,0.82,0.0,100%,06:21,both
53,Adli Edwards,204,4.0,1.0,0,--,145 lbs.,--,,"Aug 28, 1989",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,,,33.0,"Columbus, United States",,,54%,,,,,,,,,00:00,both
54,Adrian Diaz,173,11.0,4.0,1,"5' 10""",145 lbs.,--,Southpaw,"Apr 26, 1988",0.48,42%,3.84,51%,2.4,50%,0%,0.0,11.0,5.0,1.0,70.0,,35.0,"Stockton, United States",43%,3 of 7,50%,,0.48,2.4,51%,0.0,3.84,0.0,,06:15,both
55,Adrian Serrano,707,56.0,29.0,4,"5' 8""",170 lbs.,--,,"Dec 23, 1963",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,,59.0,United States,,,25%,,,,,,,,,,both
56,Adrian Yanez,840,16.0,5.0,0,"5' 7""",135 lbs.,"70""",Orthodox,"Nov 29, 1993",6.15,39%,5.73,57%,0.0,0%,100%,0.0,16.0,5.0,0.0,67.0,70.0,29.0,"Galveston, United States",40%,309 of 779,,,6.15,0.0,58%,1.79,5.73,0.0,100%,06:17,both
57,Adriano Martins,477,28.0,9.0,0,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 16, 1982",1.8,38%,2.14,65%,0.83,80%,81%,0.4,28.0,9.0,0.0,69.0,72.0,40.0,"Manaus, Brazil",39%,130 of 336,80%,4 of 5,1.8,0.83,65%,0.62,2.14,0.41,82%,09:43,both
58,Adriano Santos,683,0.0,1.0,0,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,,,United States,49%,17 of 35,,,,,,,,,,,both
60,Ahmad Hassanzada,Lion of the Ring,10.0,2.0,0,"6' 1""",155 lbs.,"75""",Orthodox,"Nov 20, 1996",2.59,34%,4.42,40%,2.5,22%,0%,0.0,0.0,1.0,0.0,,,26.0,,34%,31 of 90,22%,,2.59,2.5,40%,0.0,4.42,0.0,,11:59,both
61,Aiemann Zahabi,845,11.0,2.0,0,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987",3.43,43%,3.61,71%,0.2,16%,79%,0.0,11.0,2.0,0.0,68.0,68.5,36.0,"Laval, Canada",44%,261 of 597,17%,,3.43,0.2,71%,0.59,3.61,0.0,79%,10:52,both
63,Ailin Perez,Fiona,9.0,2.0,0,"5' 5""",135 lbs.,"66""",Switch,"Oct 05, 1994",2.96,55%,1.18,57%,4.89,50%,75%,0.0,9.0,2.0,0.0,65.0,66.0,29.0,Argentina,56%,118 of 212,50%,1 of 26,2.96,4.89,58%,0.0,1.18,0.0,75%,13:18,both
65,Aisling Daly,Ais the Bash,16.0,6.0,0,"5' 2""",115 lbs.,"64""",Orthodox,"Dec 24, 1987",2.92,52%,1.4,55%,2.15,41%,33%,0.9,16.0,5.0,0.0,62.0,64.0,35.0,"Dublin, Ireland",52%,102 of 196,42%,,2.92,2.15,56%,0.0,1.4,0.86,33%,11:38,both
67,Akbarh Arreola,El Caballero,23.0,11.0,1,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",2.32,45%,4.01,56%,1.07,100%,33%,0.4,23.0,9.0,1.0,70.0,71.0,40.0,Mexico,45%,97 of 214,100%,,2.32,1.07,57%,0.72,4.01,0.36,33%,10:28,both
68,Akihiro Gono,The Japanese Sensation,35.0,21.0,8,"5' 7""",170 lbs.,"68""",Switch,"Oct 07, 1974",2.18,48%,2.67,63%,1.01,84%,46%,0.5,28.0,14.0,7.0,69.0,,48.0,United States,53%,90 of 171,80%,,2.35,1.57,64%,0.39,11.35,0.39,46%,12:46,both
70,Akira Corassani,137,12.0,6.0,0 (1 NC),"5' 8""",145 lbs.,"68""",Orthodox,"Aug 27, 1982",3.25,45%,4.91,50%,0.7,28%,86%,0.0,14.0,7.0,1.0,68.0,67.0,40.0,United States,45%,139 of 307,29%,,3.25,0.7,50%,0.0,4.91,0.0,87%,07:07,both
73,Akitoshi Tamura,The Ironman,21.0,18.0,2,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980",3.73,43%,1.94,78%,0.0,0%,20%,1.0,0.0,0.0,0.0,69.0,,43.0,United States,44%,167 of 380,0%,,3.73,0.0,78%,0.0,1.94,1.0,20%,14:56,both
75,Al Iaquinta,Raging,14.0,7.0,1,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987",4.06,40%,4.53,61%,0.63,18%,74%,0.2,14.0,7.0,1.0,70.0,70.0,36.0,"Wantagh, United States",41%,774 of 1909,19%,8 of 43,4.06,0.63,61%,0.55,4.53,0.24,74%,12:42,both
76,Al Matavao,Sweetness,8.0,3.0,0,"5' 8""",205 lbs.,"67""",Orthodox,"Feb 23, 1994",7.84,46%,6.7,58%,0.0,0%,0%,0.0,0.0,1.0,0.0,,,29.0,American Samoa,47%,55 of 118,,,7.84,0.0,59%,0.0,6.7,0.0,,07:01,both
77,Alan Baudot,The Black Samourai,8.0,3.0,0 (2 NC),"6' 3""",243 lbs.,"79""",Orthodox,"Feb 01, 1988",5.36,58%,4.82,46%,0.0,0%,62%,0.0,8.0,3.0,0.0,75.0,79.0,35.0,"Lyon, France",59%,167 of 285,,,5.36,0.0,47%,0.48,4.82,0.0,63%,07:47,both
78,Alan Belcher,The Talent,18.0,8.0,0,"6' 2""",185 lbs.,"75""",Orthodox,"Apr 24, 1984",2.7,41%,3.1,59%,0.44,26%,55%,0.9,17.0,7.0,0.0,74.0,75.0,39.0,United States,42%,372 of 889,27%,,2.7,0.44,60%,0.33,3.1,0.87,55%,09:11,both
81,Alan Jouban,Brahma,17.0,7.0,0,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 25, 1981",5.67,50%,3.77,60%,0.51,44%,58%,0.3,17.0,7.0,0.0,72.0,73.5,41.0,"Lafayette, United States",50%,663 of 1318,44%,3 of 9,5.67,0.51,60%,1.15,3.77,0.26,59%,09:00,both
82,Alan Omer,563,20.0,5.0,0,"5' 10""",145 lbs.,--,Orthodox,"Sep 14, 1988",3.49,55%,2.21,64%,1.69,42%,66%,0.0,18.0,5.0,0.0,69.0,71.0,34.0,United States,56%,93 of 167,43%,,3.49,1.69,65%,0.0,2.21,0.0,67%,13:21,both
83,Alan Patrick,Nuguette,15.0,4.0,0 (1 NC),"5' 11""",155 lbs.,"74""",Southpaw,"Jul 19, 1983",1.82,40%,2.95,43%,3.01,33%,43%,0.3,15.0,4.0,0.0,70.0,74.0,39.0,"Manaus, Brazil",41%,209 of 513,33%,22 of 69,1.82,3.01,43%,0.13,2.95,0.26,44%,11:28,both
84,Alatengheili,The Mongolian Knight,16.0,9.0,2,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",2.88,33%,5.03,58%,1.82,40%,72%,0.0,16.0,9.0,2.0,65.0,66.5,32.0,"Alxa, China",33%,261 of 790,41%,3 of 27,2.88,1.82,58%,0.17,5.03,0.0,73%,12:58,both
86,Albert Cheng,124,7.0,4.0,0,"5' 11""",170 lbs.,--,Orthodox,"Feb 07, 1985",1.0,41%,2.6,71%,0.0,0%,0%,0.0,2.0,4.0,0.0,71.0,,38.0,"Toronto, Canada",42%,5 of 12,0%,,1.0,0.0,71%,0.0,2.6,0.0,,05:00,both
87,Albert Duraev,195,16.0,5.0,0,"5' 11""",185 lbs.,"75""",Orthodox,"Jan 05, 1989",2.99,40%,3.01,59%,1.97,29%,66%,0.6,16.0,5.0,0.0,71.0,75.0,34.0,Russia,40%,159 of 393,29%,1 of 24,2.99,1.97,60%,0.0,3.01,0.56,67%,10:39,both
88,Albert Morales,The Warrior,7.0,4.0,1,"5' 9""",135 lbs.,"72""",Orthodox,"May 25, 1991",3.81,35%,3.96,56%,0.91,35%,70%,0.2,7.0,4.0,1.0,69.0,72.0,32.0,United States,36%,314 of 879,36%,3 of 14,3.81,0.91,56%,0.0,3.96,0.18,71%,11:46,both
90,Albert Tumenov,Einstein,18.0,4.0,0,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 26, 1991",3.76,42%,3.34,58%,0.2,20%,75%,0.0,17.0,4.0,0.0,71.0,73.0,31.0,"Nalchik, Russia",42%,279 of 664,20%,,3.76,0.2,59%,1.01,3.34,0.0,75%,09:16,both
94,Alberto Crane,143,15.0,5.0,0,"5' 5""",155 lbs.,--,Orthodox,"Jul 14, 1976",0.43,25%,2.61,57%,0.0,0%,50%,4.0,8.0,2.0,0.0,69.0,,46.0,United States,25%,8 of 32,0%,,0.43,0.0,57%,0.8,2.61,4.0,50%,09:23,both
95,Alberto Mina,Soldier of God,13.0,1.0,0,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982",3.23,38%,3.7,47%,1.85,20%,50%,0.0,13.0,1.0,0.0,72.0,77.5,41.0,"Campina Grande, Brazil",39%,131 of 336,21%,5 of 24,3.23,1.85,47%,1.11,3.7,0.0,50%,10:09,both
96,Alberto Montes,The Promise,4.0,0.0,0,"5' 7""",135 lbs.,--,,"May 31, 1994",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,,,,,46%,118 of 256,,,,,,,,,,00:00,both
99,Alejandro Flores,El Gallito,17.0,3.0,0,"5' 10""",145 lbs.,"73""",Orthodox,"Aug 06, 1991",3.66,40%,2.02,54%,0.0,0%,0%,0.0,0.0,1.0,0.0,,,31.0,,41%,29 of 71,0%,,3.66,0.0,54%,0.0,2.02,0.0,,07:55,both
101,Alejandro Perez,Turbo,23.0,9.0,1,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989",3.45,35%,3.18,61%,0.54,22%,70%,0.3,23.0,9.0,1.0,66.0,67.0,33.0,"State of Mexico, Mexico",36%,479 of 1344,23%,3 of 22,3.45,0.54,62%,0.11,3.18,0.32,71%,10:41,both
103,Aleksa Camur,112,6.0,3.0,0,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 25, 1995",4.73,57%,4.26,54%,0.46,22%,50%,0.0,6.0,3.0,0.0,73.0,74.0,27.0,"Sarajevo, Bosnia &amp; Herzegovina",57%,311 of 545,22%,1 of 9,4.73,0.46,54%,0.23,4.26,0.0,50%,13:10,both
104,Aleksandar Rakic,Rocket,14.0,4.0,0,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992",4.26,50%,2.8,50%,0.76,25%,85%,0.1,14.0,4.0,0.0,76.0,78.0,32.0,"Vienna, Austria",51%,423 of 833,25%,3 of 20,4.26,0.76,51%,0.6,2.8,0.15,86%,11:02,both
107,Aleksei Kunchenko,401,20.0,2.0,0,"5' 8""",170 lbs.,"70""",Orthodox,"May 02, 1984",3.67,44%,2.83,63%,0.25,33%,80%,0.0,20.0,2.0,0.0,68.0,70.0,39.0,Russia,44%,220 of 496,33%,1 of 3,3.67,0.25,64%,0.0,2.83,0.0,81%,15:00,both
108,Aleksei Oleinik,The Boa Constrictor,60.0,17.0,1,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977",3.29,48%,3.8,44%,1.82,46%,37%,1.9,60.0,17.0,1.0,74.0,80.0,46.0,"Moscow, Russia",49%,380 of 777,47%,8 of 30,3.29,1.82,44%,0.26,3.8,1.95,38%,06:48,both
109,Alen Amedovski,24,8.0,4.0,0,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",0.99,30%,3.85,46%,0.0,0%,0%,0.0,8.0,4.0,0.0,70.0,74.0,35.0,"Debar, North Macedonia",30%,20 of 66,,,0.99,0.0,46%,0.0,3.85,0.0,,05:04,both
110,Alessandro Costa,Nono,14.0,4.0,0,"5' 4""",125 lbs.,"67""",Orthodox,"Jan 28, 1996",4.14,47%,3.5,57%,0.27,12%,90%,0.0,14.0,4.0,0.0,64.0,67.0,28.0,"Manaus , Brazil",48%,227 of 476,13%,,4.14,0.27,58%,0.82,3.5,0.0,91%,10:58,both
112,Alessio Di Chirico,Manzo,13.0,7.0,0,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",3.32,39%,3.44,61%,1.46,39%,83%,0.0,13.0,7.0,0.0,72.0,74.0,33.0,"Rome, Italy",40%,375 of 944,39%,9 of 28,3.32,1.46,62%,0.4,3.44,0.0,83%,10:17,both
113,Alessio Sakara,Legionarius,19.0,11.0,0 (2 NC),"6' 0""",185 lbs.,"72""",Orthodox,"Sep 02, 1981",3.96,47%,2.8,59%,2.18,78%,62%,0.0,19.0,11.0,0.0,72.0,72.0,41.0,United States,48%,299 of 626,79%,,3.96,2.18,59%,0.79,2.8,0.0,63%,05:02,both
114,Alex Andrade,El Toro,10.0,5.0,0,"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974",0.2,36%,2.6,53%,0.0,0%,25%,0.8,0.0,0.0,0.0,0.0,,49.0,United States,,,50%,,,,,,,,,,both
115,Alex Caceres,Bruce Leeroy,21.0,14.0,0 (1 NC),"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988",4.16,50%,2.93,63%,0.56,68%,64%,0.7,21.0,14.0,0.0,70.0,73.5,35.0,United States,51%,1437 of 2843,68%,9 of 19,4.16,0.56,63%,0.22,2.93,0.69,65%,11:55,both
116,Alex Chambers,Astro Girl,5.0,5.0,0,"5' 3""",115 lbs.,"63""",Southpaw,"Oct 25, 1978",2.97,54%,5.1,50%,2.31,41%,53%,1.0,5.0,4.0,0.0,63.0,63.0,44.0,"Sydney, Australia",54%,135 of 250,41%,7 of 17,2.97,2.31,51%,0.0,5.1,0.99,53%,09:06,both
120,Alex Enlund,209,14.0,2.0,0 (1 NC),"5' 10""",145 lbs.,--,Orthodox,"May 27, 1987",0.0,0%,0.0,0%,0.0,0%,0%,0.0,14.0,2.0,0.0,70.0,73.0,36.0,"South Shields, United Kingdom",,,17%,1 of 6,,,,,,,,00:00,both
121,Alex Garcia,The Dominican Nightmare,15.0,6.0,0,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 14, 1987",1.81,31%,3.03,59%,3.72,52%,66%,0.1,15.0,5.0,0.0,69.0,72.0,35.0,"Santiago, Dominican Republic",31%,212 of 676,53%,28 of 55,1.81,3.72,59%,0.38,3.03,0.13,67%,11:42,both
122,Alex Gilpin,265,11.0,1.0,0,"5' 7""",145 lbs.,--,Orthodox,"Mar 26, 1992",6.8,54%,12.29,42%,2.17,25%,0%,2.2,10.0,1.0,0.0,,,31.0,"St. Louis, United States",54%,47 of 87,25%,,6.8,2.17,43%,0.0,12.29,2.17,,06:55,both
123,Alex Gorgees,Hitman,6.0,1.0,0,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995",0.67,32%,2.27,38%,0.0,0%,54%,0.0,7.0,1.0,0.0,,,,Australia,32%,10 of 31,,,0.67,0.0,38%,0.0,2.27,0.0,55%,15:00,both
126,Alex Hunter,332,2.0,0.0,0,"5' 9""",226 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,,,United States,,,56%,7 of 18,,,,,,,,,both
127,Alex Karalexis,The Assassin,10.0,6.0,0,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977",2.57,42%,2.39,54%,2.7,45%,86%,0.9,8.0,2.0,0.0,68.0,,,United States,42%,214 of 507,45%,,2.57,2.7,54%,0.0,2.39,0.9,87%,08:19,both
128,Alex Morono,The Great White,24.0,9.0,0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990",4.87,40%,4.16,58%,0.32,22%,55%,0.4,24.0,9.0,0.0,71.0,72.0,33.0,"Houston, United States",41%,1146 of 2802,23%,,4.87,0.32,58%,0.32,4.16,0.38,55%,11:47,both
129,Alex Nicholson,The Spartan,7.0,4.0,0,"6' 4""",185 lbs.,"77""",Orthodox,"May 02, 1990",4.12,43%,4.65,47%,0.0,0%,50%,0.5,7.0,4.0,0.0,76.0,81.0,33.0,"Apopka, United States",44%,117 of 268,,,4.12,0.0,47%,0.53,4.65,0.53,50%,07:06,both
130,Alex Oliveira,Cowboy,22.0,12.0,1 (2 NC),"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988",2.99,51%,2.55,46%,2.35,38%,63%,0.6,22.0,12.0,1.0,71.0,76.5,35.0,"Brasilerio, Brazil",51%,629 of 1230,38%,26 of 86,2.99,2.35,47%,0.43,2.55,0.57,64%,09:34,both
131,Alex Pereira,Poatan,10.0,2.0,0,"6' 4""",205 lbs.,"79""",Orthodox,"Jul 07, 1987",5.1,62%,3.65,50%,0.18,100%,70%,0.4,10.0,2.0,0.0,76.0,79.0,36.0,"São Bernardo do Campo, Brazil",63%,416 of 662,100%,,5.1,0.18,50%,0.74,3.65,0.37,70%,10:12,both
