name,nickname,wins,losses,draws,height,weight,reach,stance,dOB,sig_strikes_landed_per_min,sig_striking_accuracy_%,sig_strike_absorbed_per_min,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent),takedown_average(average_takedown_landed_per_fifteen_min),takedown_accuracy_%,takedown_defense(%_of_opponent_takedown_not_landed),sub_average(average_subs_attempted_per_15_mins)
Nick Aguirre,Slick,7,2,0,"5' 9""",135 lbs.,"74""",Southpaw,"Jan 15, 1996",0.73,33%,2.89,45%,1.16,20%,33%,0.6
Mike Aina,Iron,14,6,1 (1 NC),"5' 9""",155 lbs.,--,Orthodox,--,2.87,33%,6.33,59%,0.00,0%,71%,0.0
Ashiek Ajim,Peak Physique,6,2,0,"5' 8""",135 lbs.,"71""",Switch,"Jun 19, 1994",5.00,40%,11.25,25%,0.00,0%,0%,0.0
Hitomi Akano,Girlfight Monster,18,10,0,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974",0.59,45%,2.58,55%,0.00,0%,8%,0.5
Omari Akhmedov,Wolverine,21,6,1,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2.97,34%,2.84,55%,2.58,45%,65%,0.2
Yoshihiro Akiyama,,14,6,0 (2 NC),"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",3.10,41%,3.62,57%,2.29,67%,92%,1.0
Rostem Akman,,6,2,0,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",1.80,25%,3.97,57%,1.00,40%,87%,0.0
Razak Al-Hassan,,13,5,0,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982",3.27,39%,3.14,60%,0.65,14%,57%,0.0
Abdul-Kareem Al-Selwady,Pride of Palestine,15,4,0,"5' 8""",155 lbs.,"69""",Orthodox,"Apr 10, 1995",4.14,34%,3.60,59%,2.32,30%,20%,0.0
Mostapha Al-Turk,,6,6,0,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",1.36,19%,3.61,53%,0.00,0%,0%,0.0
Herdem Alacabek,,5,1,0,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",3.84,65%,6.66,23%,2.06,50%,42%,0.0
Javi Alanis,,0,4,0,"5' 6""",135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alatengheili,The Mongolian Knight,17,9,2,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",2.64,32%,4.67,57%,1.99,45%,75%,0.0
Amir Albazi,The Prince,17,1,0,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",2.80,39%,3.07,63%,1.71,33%,40%,0.7
Brett Albee,,3,2,0,--,225 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
John Albert,Prince,6,5,0,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",3.05,49%,2.82,35%,0.00,0%,50%,6.1
Junior Albini,Baby,14,6,0,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",3.98,51%,6.08,52%,1.54,37%,100%,0.0
Wes Albritton,,0,1,0,"5' 10""",188 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Aleksandra Albu,Stitch,3,2,0,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",4.83,47%,5.56,38%,2.27,50%,77%,0.4
Israel Albuquerque,,0,3,0,--,185 lbs.,--,Orthodox,--,0.32,13%,3.34,25%,0.00,0%,0%,0.0
Juan Alcain,,1,2,0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Iuri Alcantara,Marajo,35,10,0 (1 NC),"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",2.72,45%,2.79,49%,1.44,62%,60%,0.8
Ildemar Alcantara,Marajo,21,11,0,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",1.93,38%,2.63,50%,2.00,68%,81%,0.9
Alfonso Alcarez,,1,3,1,"5' 3""",145 lbs.,--,,"Jun 10, 1970",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gilbert Aldana,El Peligro,6,2,0,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977",2.91,54%,6.26,26%,2.57,40%,33%,0.0
Irene Aldana,,15,7,0,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",5.24,40%,6.33,57%,0.16,50%,76%,0.2
Hector Aldana,,4,3,0,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",3.59,38%,5.08,59%,0.93,100%,0%,0.0
Jose Alday,Pochito,14,6,1,"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991",3.13,44%,3.13,58%,0.00,0%,57%,0.0
Jose Aldo,,32,8,0,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",3.63,46%,3.73,60%,0.51,53%,91%,0.1
JJ Aldrich,,13,7,0,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",3.88,46%,4.38,60%,0.66,23%,66%,0.0
Irina Alekseeva,Russian Ronda,5,2,0,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990",3.84,43%,3.55,48%,0.87,20%,100%,0.9
Talita Alencar,Problem Child,5,0,1,"5' 1""",115 lbs.,"58""",Orthodox,"Oct 17, 1990",2.37,28%,4.80,48%,2.50,15%,50%,0.0
Jim Alers,The Beast,13,3,0 (1 NC),"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",2.90,40%,4.38,56%,2.26,41%,80%,0.3
John Alessio,The Natural,35,17,0 (2 NC),"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",2.10,39%,2.91,54%,1.85,38%,70%,1.2
Houston Alexander,The Assassin,17,15,1 (2 NC),"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,54%,3.20,52%,1.19,57%,33%,0.0
Kenneth Alexander,The Machine,7,6,0 (1 NC),"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977",0.88,19%,2.20,66%,4.71,26%,0%,0.0
Lucas Alexander,The Lion,8,4,0,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995",5.23,55%,1.83,71%,0.00,0%,57%,0.0
Marcio Alexandre Junior,Lyoto,17,4,0,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",1.61,45%,2.89,42%,0.35,20%,66%,0.7
Olaf Alfonso,,8,12,0,"6' 2""",170 lbs.,--,Orthodox,"Aug 06, 1974",1.65,38%,4.77,53%,0.37,7%,22%,0.7
Pablo Alfonso,The Hurricane,9,7,0,"5' 8""",145 lbs.,--,,"May 09, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Levi Alford,,1,7,0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bill Algeo,Senor Perfecto,18,8,0,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",6.16,52%,4.52,47%,0.86,46%,56%,0.1
Royce Alger,,3,2,0,"5' 10""",199 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Amir Aliakbari,,10,1,0,"6' 3""",250 lbs.,--,,"Jun 10, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Sultan Aliev,,15,3,0,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",1.41,45%,2.20,56%,1.76,38%,100%,0.0
Nurullo Aliev,Tajik Eagle,9,0,0,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 08, 2000",2.50,51%,0.46,59%,3.06,44%,0%,0.0
Ikram Aliskerov,,15,1,0,"6' 0""",185 lbs.,"76""",Southpaw,"Dec 07, 1992",8.24,65%,7.15,36%,2.33,33%,0%,2.3
Leon Aliu,The Albanian Lion,10,2,0,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 14, 1989",6.32,50%,10.11,38%,0.00,0%,0%,0.0
John Allan,,13,7,0 (1 NC),"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",3.56,42%,5.74,52%,1.40,71%,50%,0.8
George Allen,,13,19,2,"6' 2""",205 lbs.,--,Open Stance,"Jan 13, 1967",0.80,38%,3.10,43%,0.00,0%,50%,0.0
Arnold Allen,Almighty,19,3,0,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",3.39,40%,2.91,61%,1.02,50%,75%,0.4
Brendan Allen,All In,24,5,0,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",3.98,53%,3.83,47%,1.74,47%,58%,1.4
Daniel Allen,,5,0,0,"6' 0""",155 lbs.,"75""",Southpaw,"Aug 10, 1992",7.60,51%,5.87,53%,2.00,66%,100%,0.0
Ben Alloway,Blanco,18,8,0,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",1.28,49%,1.90,59%,0.62,50%,26%,0.0
Asu Almabayev,Zulfikar,20,2,0,"5' 4""",125 lbs.,"65""",Orthodox,"Jan 25, 1994",2.36,61%,1.00,58%,6.68,56%,0%,2.4
Bekzat Almakhan,The Turan Warrior,11,2,0,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 08, 1997",0.20,18%,4.53,30%,0.00,0%,0%,0.0
John Dave Almanza,The Striker,6,1,0,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 22, 2004",1.92,41%,5.75,27%,0.00,0%,0%,0.0
Ricardo Almeida,Big Dog,13,5,0,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",2.02,49%,1.20,61%,3.74,38%,31%,1.2
Magno Almeida,,10,3,0 (1 NC),"6' 0""",155 lbs.,--,,"Jun 06, 1985",1.67,36%,2.60,41%,0.00,0%,40%,5.0
Thomas Almeida,Thominhas,22,5,0,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",4.84,43%,4.93,61%,0.17,14%,75%,0.0
Ericka Almeida,,7,3,0,"5' 6""",115 lbs.,--,Orthodox,"Mar 05, 1989",1.07,39%,3.33,43%,0.50,33%,37%,0.0
Estefani Almeida,,7,3,0,"5' 4""",125 lbs.,--,Orthodox,"Oct 17, 1988",3.13,37%,6.07,42%,0.00,0%,0%,0.0
Jailton Almeida,Malhadinho,21,3,0,"6' 3""",205 lbs.,"79""",Orthodox,"Jun 26, 1991",2.46,64%,0.72,40%,6.85,59%,75%,2.6
Lucas Almeida,,15,3,0,"5' 11""",145 lbs.,"71""",Orthodox,"Jan 31, 1991",4.94,43%,4.92,46%,0.00,0%,50%,0.0
Cesar Almeida,Cesinha,5,1,0,"6' 1""",185 lbs.,"74""",Orthodox,"Mar 28, 1988",4.25,61%,1.88,46%,0.00,0%,56%,0.0
Mauricio Alonso,,13,7,0 (1 NC),"6' 2""",170 lbs.,--,,"Feb 27, 1980",5.74,34%,1.91,67%,0.00,0%,0%,0.0
Sarah Alpar,Too Sweet,9,6,0,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",2.36,44%,6.06,38%,1.61,26%,20%,0.4
Ali AlQaisi,The Royal Fighter,8,5,0,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",2.43,42%,1.97,56%,3.50,29%,60%,1.0
Rico Altamirano,,4,3,0,"5' 10""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Victor Altamirano,El Magnifico,12,4,0,"5' 8""",125 lbs.,"70""",Switch,"Jan 23, 1991",4.55,57%,3.70,54%,3.43,39%,63%,0.0
Mike Altman,,1,4,0,"5' 10""",185 lbs.,--,Orthodox,--,1.56,20%,2.08,75%,0.00,0%,0%,0.0
Patricia Alujas,The Angel,9,3,0,"5' 4""",115 lbs.,"64""",Orthodox,"May 08, 1996",5.83,31%,9.25,44%,0.00,0%,0%,0.0
Sean Alvarez,,4,3,0,"6' 0""",235 lbs.,--,Orthodox,"Jul 14, 1971",0.89,37%,3.25,47%,0.00,0%,0%,0.0
Eddie Alvarez,,29,6,0 (1 NC),"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",4.32,41%,4.39,55%,2.92,36%,92%,0.5
Jaime Alvarez,,6,1,0,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",2.73,40%,4.53,56%,1.00,33%,50%,0.0
Joel Alvarez,El Fenomeno,20,3,0,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1993",3.65,46%,3.37,50%,0.00,0%,11%,1.3
Thiago Alves,Pitbull,23,15,0,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",3.73,41%,3.42,62%,0.71,60%,63%,0.3
Anthony Alves,,1,4,0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Amilcar Alves,,15,12,0,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",0.50,46%,2.02,30%,0.00,0%,53%,0.0
Warlley Alves,,15,8,0,"5' 11""",185 lbs.,"72""",Orthodox,"Jan 04, 1991",3.04,48%,3.95,50%,1.22,50%,62%,0.8
Rafael Alves,The Turn,20,12,0,"5' 8""",155 lbs.,"68""",Orthodox,"Nov 14, 1990",1.85,48%,3.30,58%,0.29,25%,44%,1.5
Sam Alvey,Smile'N,33,18,1 (1 NC),"6' 2""",185 lbs.,"75""",Southpaw,"May 06, 1986",3.28,44%,3.63,52%,0.06,14%,82%,0.1
Andre Amado,Dida,6,4,1,"6' 0""",154 lbs.,--,Orthodox,--,2.27,24%,5.91,63%,0.00,0%,20%,0.0
Adlan Amagov,Borz,14,2,1,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",3.29,47%,0.82,78%,5.84,56%,100%,0.0
Maiara Amanajas dos Santos,,7,3,0,"5' 5""",115 lbs.,--,Southpaw,"Jul 11, 1987",5.53,35%,24.47,33%,0.00,0%,100%,0.0
Chris Amarante,,2,0,0,--,185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jimmy Ambriz,The Titan,17,21,1,"6' 2""",315 lbs.,--,Southpaw,"Jan 26, 1970",0.83,29%,3.76,40%,3.13,57%,100%,0.8
JJ Ambrose,,28,7,0 (2 NC),"5' 10""",170 lbs.,--,Orthodox,--,3.16,69%,6.32,33%,0.00,0%,50%,0.0
Alen Amedovski,,8,4,0,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",0.99,30%,3.85,46%,0.00,0%,0%,0.0
Hyder Amil,The Hurricane,9,0,0,"5' 9""",145 lbs.,"70""",Switch,"May 28, 1990",4.73,54%,2.16,61%,0.68,33%,78%,2.0
Hamid Amiri,The Storm,9,0,0,--,145 lbs.,--,,"Jun 15, 2003",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Makwan Amirkhani,Mr. Finland,17,9,0,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",1.33,44%,2.98,46%,3.96,43%,35%,1.1
Jaqueline Amorim,,8,1,0,"5' 3""",115 lbs.,"68""",Orthodox,"Jun 24, 1995",3.33,52%,1.85,62%,1.48,23%,0%,5.4
Bertrand Amoussou,,1,1,0,"5' 8""",190 lbs.,--,Orthodox,--,6.75,39%,2.01,83%,0.00,0%,0%,0.0
Karl Amoussou,The Psycho,27,7,2,"5' 11""",185 lbs.,--,Orthodox,"Nov 21, 1985",1.47,34%,2.67,54%,0.00,0%,25%,1.0
Eryk Anders,Ya Boi,16,8,0 (1 NC),"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",3.41,47%,4.17,50%,1.79,26%,79%,0.1
Matt Andersen,,14,8,1,"6' 2""",230 lbs.,--,Southpaw,"May 29, 1971",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andy Anderson,The Hammer,0,1,0,"5' 6""",240 lbs.,--,,"Jul 16, 1974",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Lowell Anderson,,0,1,0,"5' 6""",160 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Corey Anderson,Overtime,14,5,0,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0
Derek Anderson,Barbaric,14,3,0 (1 NC),"6' 0""",155 lbs.,--,,"Feb 02, 1990",3.97,37%,3.08,61%,0.34,14%,60%,0.0
Megan Anderson,,11,5,0,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",1.76,46%,3.35,37%,0.52,25%,53%,0.5
Liam Anderson,,6,2,0,--,185 lbs.,--,,"Jan 13, 1995",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tatsuya Ando,Kirinji,14,4,1,"5' 4""",145 lbs.,"68""",Southpaw,"Apr 26, 1990",0.93,19%,4.93,50%,0.00,0%,0%,0.0
Alex Andrade,El Toro,10,5,0,"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974",0.20,36%,2.60,53%,0.00,0%,25%,0.8
Jessica Andrade,Bate Estaca,26,12,0,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",6.62,50%,5.37,55%,2.37,55%,72%,0.3
Viscardi Andrade,,19,6,0,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3
Jermaine Andre,,14,4,0,"5' 7""",200 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Juan Andres Luna,,12,1,0,"5' 7""",125 lbs.,"72""",Orthodox,"Aug 20, 1995",3.27,31%,3.00,65%,0.00,0%,0%,0.0
Fellipe Andrew,,0,0,0,--,--,--,,"Oct 24, 1994",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dylan Andrews,The Villain,18,7,0 (1 NC),"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",2.21,50%,2.72,46%,2.83,50%,57%,0.4
Reese Andy,Riptide,7,3,0,"6' 0""",205 lbs.,--,Orthodox,"Mar 31, 1973",2.87,50%,3.50,58%,0.67,20%,40%,0.0
Angga,The Hitman,13,3,0,"5' 7""",145 lbs.,"68""",Orthodox,"Jan 13, 1989",3.56,38%,3.77,53%,0.00,0%,33%,0.0
Julius Anglickas,,5,1,0,"6' 3""",205 lbs.,--,Orthodox,"Jul 23, 1991",4.62,78%,1.86,50%,4.47,50%,60%,1.1
Collin Anglin,,8,3,0,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",4.59,48%,5.54,51%,2.28,66%,100%,0.0
Chad Anheliger,The Monster,13,7,0,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 01, 1986",3.60,45%,3.11,53%,0.82,30%,42%,0.6
Yoji Anjo,Mr. 200%,0,5,1,"5' 11""",205 lbs.,--,Orthodox,"Mar 28, 1967",0.00,0%,3.13,25%,0.00,0%,0%,0.0
Magomed Ankalaev,,19,1,1 (1 NC),"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.64,53%,2.25,59%,1.02,31%,86%,0.0
Gadzhimurad Antigulov,,20,8,0,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",2.08,55%,4.21,40%,5.08,36%,0%,1.4
Adam Antolin,Captain Chaos,12,3,0,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",5.73,52%,5.00,69%,0.00,0%,100%,0.0
Angelo Antonio,,1,4,0,--,205 lbs.,--,Orthodox,--,1.09,50%,7.64,50%,0.00,0%,0%,0.0
Azunna Anyanwu,Zulu,14,5,0,"6' 1""",251 lbs.,--,Orthodox,"Aug 05, 1981",2.47,42%,2.47,69%,0.65,100%,0%,0.0
Shinsho Anzai,Animal,10,3,0,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",3.23,58%,3.75,45%,1.83,16%,75%,0.0
Shinya Aoki,Tobikan Judan,39,7,0 (1 NC),"5' 11""",154 lbs.,--,Southpaw,"May 09, 1983",0.97,58%,1.25,58%,2.54,41%,60%,4.0
Aoriqileng,The Mongolian Murderer,25,10,0 (1 NC),"5' 7""",135 lbs.,"69""",Orthodox,"Jun 25, 1993",5.31,50%,6.03,47%,1.45,46%,58%,0.0
Josh Appelt,,15,7,0,"5' 10""",255 lbs.,--,Southpaw,"Jun 19, 1983",1.35,40%,11.50,32%,0.00,0%,33%,0.0
Erik Apple,,10,3,0,"6' 0""",170 lbs.,--,Orthodox,"Aug 26, 1977",0.00,0%,0.54,81%,0.00,0%,0%,8.1
Kenji Arai,,15,15,5,"5' 10""",145 lbs.,--,Southpaw,"Oct 05, 1979",8.79,27%,10.29,39%,0.00,0%,0%,0.0
Romie Aram,,7,1,0,"5' 10""",170 lbs.,--,Orthodox,"Dec 02, 1977",1.80,35%,2.83,50%,2.50,62%,83%,0.0
Felipe Arantes,Sertanejo,18,10,1 (2 NC),"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",2.37,45%,2.66,64%,0.93,47%,41%,0.7
Igor Araujo,,25,9,0 (1 NC),"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",1.52,42%,2.86,49%,0.86,15%,22%,0.6
Viviane Araujo,Vivi,12,6,0,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",4.11,47%,4.96,56%,1.76,40%,78%,0.6
Julio Arce,,19,6,0,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",4.36,36%,3.05,68%,0.46,28%,96%,0.3
Art Arciniega,King Arthur,15,7,0,"5' 8""",145 lbs.,--,,"Oct 15, 1981",1.53,46%,2.73,51%,0.00,0%,50%,1.0
Alice Ardelean,,9,5,0,--,115 lbs.,--,,"Apr 19, 1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tristan Arenal,,7,4,0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gabriel Arges,,0,0,0,--,170 lbs.,--,,"Jan 29, 1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dan Argueta,The Determined,9,2,0 (2 NC),"5' 7""",135 lbs.,"68""",Southpaw,"Aug 13, 1993",2.18,45%,1.90,51%,4.45,48%,57%,1.6
Reza Arianto,The Crazy Lion,5,0,0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hashem Arkhagha,,6,1,0,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 11, 1989",1.84,44%,8.97,43%,0.00,0%,50%,0.0
Andrei Arlovski,The Pitbull,34,23,0 (2 NC),"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.78,45%,3.20,57%,0.38,36%,76%,0.2
