name,wins,losses,draws,height,reach,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time
Omari Akhmedov,21,6,1,72.00,73.00,35,"Dagestan Republic, Russia",34%,535 of 1556,46%,19 of 68,2.97,2.58,56%,0.17,2.84,0.25,66%,12:01
Yoshihiro Akiyama,15,6,0,70.00,73.50,47,Japan,42%,466 of 1122,68%,12 of 34,3.10,2.29,58%,0.40,3.62,1.00,93%,06:50
Rostem Akman,0,2,0,70.00,72.00,31,"Stockholm, Sweden",26%,54 of 210,40%,2 of 5,1.80,1.00,58%,0.00,3.97,0.00,88%,15:00
Mostapha Al Turk,6,6,0,74.00,,49,"Beirut, Lebanon",19%,31 of 161,0%,,1.36,0.00,53%,0.00,3.61,0.00,,07:34
Razak Al-Hassan,7,2,0,74.00,,41,"Milwaukee, United States",33%,44 of 135,20%,,2.31,0.79,60%,0.00,3.78,0.00,57%,09:32
Ali Al-Qaisi,8,5,0,68.00,68.00,32,"Amman, Jordan",42%,73 of 172,29%,,2.43,3.50,56%,0.00,1.97,1.00,60%,15:00
Abdul-Kareem Al-Selwady,1,0,0,,,28,"Baton Rouge, United States",29%,69 of 241,17%,,4.60,1.00,61%,0.00,3.60,0.00,,15:00
Herdem Alacabek,0,0,0,74.00,74.50,32,,66%,56 of 85,50%,,3.84,2.06,23%,0.00,6.66,0.00,43%,14:34
Alatengheili,16,9,1,65.00,66.50,31,"Alxa, China",33%,261 of 790,41%,3 of 27,2.88,1.82,58%,0.17,5.03,0.00,73%,12:58
Amir Albazi,17,1,0,65.00,68.00,29,"Baghdad, Iraq",39%,172 of 441,33%,3 of 21,2.80,1.71,63%,0.49,3.07,0.73,40%,12:18
John Albert,7,5,0,68.00,,36,"Reno, United States",50%,67 of 135,0%,,3.05,0.00,35%,0.68,2.82,6.14,50%,04:24
Junior Albini,14,6,0,75.00,74.00,32,"Paranaguá, Brazil",51%,116 of 227,38%,1 of 8,3.98,1.54,52%,0.51,6.08,0.00,100%,05:50
Wes Albritton,0,0,0,0.00,,,United States,,,38%,1 of 8,,,,,,,,
Alexandra Albu,7,2,0,62.00,63.00,32,"Vulcanesti, Moldova",47%,191 of 405,50%,5 of 12,4.83,2.27,39%,0.00,5.56,0.38,78%,09:54
Iuri Alcantara,35,10,0,69.00,71.00,42,"Soure, Brazil",46%,483 of 1057,63%,17 of 27,2.72,1.44,49%,0.42,2.79,0.84,60%,09:21
Ildemar Alcantara,21,8,0,74.50,78.00,40,"Soure, Portugal",39%,188 of 486,68%,,1.93,2.00,50%,0.00,2.63,0.92,82%,13:57
Alfonso Alcarez,0,0,0,75.00,,53,United States,,,68%,,,,,,,,,
Hector Aldana,4,2,0,71.00,72.50,34,"San Luis Río Colorado, Mexico",38%,116 of 302,100%,2 of 2,3.59,0.93,60%,0.00,5.08,0.00,,10:46
Gilbert Aldana,5,0,0,74.00,,45,"Chandler, United States",55%,34 of 62,40%,,2.91,2.57,26%,0.00,6.26,0.00,33%,05:50
Irene Aldana,15,7,0,69.00,68.50,35,"Culiacán, Mexico",40%,996 of 2484,50%,2 of 4,5.24,0.16,57%,0.24,6.33,0.24,76%,14:38
Jose Alday,0,1,0,67.00,68.00,31,"Nacozari de García, Mexico",44%,47 of 106,0%,,3.13,0.00,59%,0.00,3.13,0.00,57%,15:00
José Aldo,31,8,0,67.00,70.00,36,"Manaus, Brazil",46%,1421 of 3069,54%,12 of 24,3.57,0.49,61%,0.41,3.74,0.15,92%,14:12
JJ Aldrich,13,6,0,65.00,67.50,30,"Denver, United States",47%,771 of 1650,25%,1 of 36,4.05,0.71,61%,0.00,4.53,0.00,67%,13:36
Irina Alekseeva,5,2,0,68.00,,33,Kazakhstan,43%,66 of 152,20%,,3.84,0.87,49%,0.87,3.55,0.87,100%,08:36
Talita Alencar,5,0,1,61.00,58.50,33,"Carutapera, Brazil",29%,71 of 247,15%,1 of 33,2.37,2.50,49%,0.00,4.80,0.00,50%,15:00
Jim Alers,13,3,0,69.00,71.00,36,"New York, United States",40%,135 of 335,41%,,2.90,2.26,57%,0.32,4.38,0.32,80%,11:38
John Alessio,34,16,0,0.00,,43,United States,39%,273 of 697,38%,2 of 42,2.10,1.85,55%,0.12,2.91,1.16,71%,09:59
Houston Alexander,9,5,0,72.00,,51,"East St. Louis, United States",56%,92 of 165,100%,,3.64,0.59,53%,1.78,6.38,0.00,33%,04:13
Lucas Alexander,8,4,0,71.00,73.00,28,Brazil,55%,97 of 176,0%,,5.23,0.00,71%,0.81,1.83,0.00,57%,06:11
Marcio Alexandre,13,3,0,73.00,75.00,34,"Florianopolis, Brazil",45%,68 of 151,20%,1 of 5,1.61,0.35,42%,0.00,2.89,0.71,67%,10:34
Olaf Alfonso,0,0,0,70.00,,48,"Enseneda, Mexico",26%,15 of 57,0%,,0.63,0.00,37%,0.00,5.76,0.63,22%,12:56
Bill Algeo,18,7,0,72.00,73.00,34,"Boothwyn, United States",52%,724 of 1387,47%,4 of 15,6.11,0.89,47%,0.25,4.41,0.13,56%,13:10
Royce Alger,0,0,0,0.00,,,United States,,,47%,4 of 15,,,,,,,,
Abdul Razak Alhassan,12,6,0,70.00,73.00,38,Ghana,48%,285 of 589,38%,1 of 13,3.37,0.89,56%,1.78,3.99,0.18,51%,06:30
Amir Aliakbari,0,0,0,,,39,,,,38%,1 of 13,,,,,,,,
Sultan Aliev,15,3,0,71.00,74.50,38,"Dagestan, Russia",46%,60 of 131,38%,3 of 13,1.41,1.76,57%,0.00,2.20,0.00,100%,10:41
Nurullo Aliev,9,0,0,70.00,72.00,22,"Dushanbe, Tajikistan",51%,49 of 96,44%,3 of 9,2.50,3.06,59%,0.00,0.46,0.00,,09:48
Ikram Aliskerov,15,1,0,72.00,76.00,30,"Makhachkala, Russia",65%,53 of 81,33%,,8.24,2.33,37%,4.66,7.15,2.33,,02:09
Leon Aliu,0,1,0,,,33,,50%,10 of 20,0%,,6.32,0.00,38%,0.00,10.11,0.00,,01:35
John Allan,13,7,0,73.00,75.00,30,"Curitiba, Brazil",43%,191 of 449,71%,4 of 7,3.56,1.40,52%,0.00,5.74,0.84,50%,13:25
Arnold Allen,19,2,0,68.00,70.00,29,"Ipswich, United Kingdom",41%,491 of 1209,50%,8 of 22,3.34,1.12,62%,0.31,2.86,0.31,76%,13:22
Brendan Allen,23,5,0,74.00,75.00,27,"Beaufort, United States",54%,470 of 863,48%,2 of 23,3.87,1.36,47%,0.49,3.60,1.73,59%,08:40
Benny Alloway,13,6,0,71.00,75.00,42,"Ipswich, Australia",49%,31 of 63,50%,,1.28,0.62,59%,0.62,1.90,0.00,27%,08:05
Assu Almabayev,18,2,0,64.00,65.00,29,Kazakhstan,65%,26 of 40,40%,2 of 5,3.18,3.67,78%,0.00,0.49,3.67,,08:11
Ricardo Almeida,13,4,0,72.00,74.00,46,United States,49%,299 of 608,38%,,2.02,3.74,61%,0.00,1.20,1.21,31%,11:25
Thomas Almeida,22,5,0,67.00,70.00,31,"Sao Paulo, Brazil",44%,435 of 1000,14%,,4.84,0.17,62%,0.50,4.93,0.00,76%,09:00
Ericka Almeida,7,2,0,66.00,68.00,34,United States,40%,32 of 81,33%,,1.07,0.50,44%,0.00,3.33,0.00,38%,15:00
Estefani Almeida,0,0,0,64.00,,34,"Manaus, Brazil",37%,47 of 127,0%,,3.13,0.00,42%,0.00,6.07,0.00,,15:00
Jailton Almeida,20,2,0,75.00,79.00,32,Brazil,65%,154 of 237,56%,2 of 34,2.78,5.14,43%,0.00,0.52,2.43,75%,07:55
Cesar Almeida,4,0,0,73.00,74.00,35,Brazil,61%,71 of 116,,,4.73,0.00,48%,0.00,1.87,0.00,70%,15:00
Lucas Almeida,14,3,0,71.00,71.00,32,"Sorocaba, Brazil",47%,183 of 388,,,5.05,0.00,45%,0.83,5.32,0.00,40%,09:04
Sarah Alpar,9,6,0,64.00,63.00,32,"Amarillo, United States",44%,88 of 200,27%,,2.36,1.61,38%,0.00,6.06,0.40,20%,12:25
Victor Altamirano,12,3,0,68.00,70.00,32,"Mexico City, Mexico",58%,318 of 551,26%,1 of 35,5.00,2.12,53%,0.24,3.99,0.00,63%,12:44
Patricia Alujas,0,1,0,,,26,"Asunción, Paraguay",32%,53 of 168,,,5.83,0.00,45%,0.00,9.25,0.00,,09:05
Jaime Alvarez,7,1,0,68.00,69.00,35,"Hollywood, United States",40%,41 of 102,33%,,2.73,1.00,57%,0.00,4.53,0.00,50%,15:00
Eddie Alvarez,29,6,0,69.00,69.00,39,United States,41%,556 of 1342,37%,12 of 68,4.32,2.92,56%,0.47,4.39,0.47,93%,09:53
Sean Alvarez,4,3,0,72.00,,51,"New York City, United States",38%,6 of 16,0%,,0.89,0.00,48%,0.00,3.25,0.00,,06:46
Joel Álvarez,20,3,0,74.00,77.00,30,Spain,47%,172 of 369,0%,,3.65,0.00,50%,0.00,3.37,1.27,11%,06:44
Amilcar Alves,11,3,0,72.00,,43,Brazil,47%,14 of 30,0%,,0.50,0.00,30%,0.00,2.02,0.00,53%,14:06
Thiago Alves,28,15,0,69.00,70.00,39,"Fortaleza, Brazil",42%,1106 of 2648,61%,13 of 23,3.73,0.71,63%,0.66,3.42,0.30,63%,10:59
Rafael Alves,20,12,0,68.00,68.00,32,Brazil,49%,95 of 194,25%,,1.85,0.29,58%,0.29,3.30,1.46,44%,10:15
Warlley Alves,15,7,0,71.00,72.00,32,"Governador Valadares, Brazil",48%,469 of 971,50%,8 of 26,3.25,1.35,51%,0.31,4.21,0.94,80%,09:37
Sam Alvey,33,18,1,74.00,75.50,37,"Milwaukee, United States",45%,758 of 1703,14%,1 of 7,3.28,0.06,53%,0.45,3.63,0.06,82%,09:38
Adlan Amagov,13,2,1,74.00,,36,Russia,48%,76 of 159,56%,,3.29,5.84,79%,1.30,0.82,0.00,100%,06:21
Rayanne Amanda,14,7,0,62.00,62.00,28,"Belém, Brazil",37%,112 of 304,20%,,3.73,0.50,65%,0.00,4.63,0.00,89%,15:00
Alen Amedovski,8,4,0,70.00,74.00,35,"Debar, North Macedonia",30%,20 of 66,,,0.99,0.00,46%,0.00,3.85,0.00,,05:04
Hyder Amil,1,0,0,,,33,,52%,26 of 50,,,1.73,0.00,53%,0.00,1.47,1.00,78%,15:00
Makwan Amirkhani,17,9,0,70.00,72.00,34,Iraq,44%,171 of 387,43%,12 of 79,1.33,3.96,46%,0.12,2.98,1.05,36%,09:12
Jaqueline Amorim,7,1,0,63.00,,28,"Manaus, Brazil",52%,98 of 188,23%,2 of 13,3.42,1.57,63%,0.00,1.81,3.66,,14:21
Eryk Anders,15,8,0,73.00,75.00,36,"San Antonio, United States",48%,692 of 1454,24%,6 of 83,3.56,1.54,50%,0.54,4.39,0.08,80%,12:09
Matt Andersen,0,0,0,0.00,,52,"Omaha, United States",,,24%,6 of 83,,,,,,,,
Megan Anderson,11,5,0,72.00,72.00,33,Australia,46%,51 of 110,25%,,1.76,0.52,37%,0.52,3.35,0.52,54%,04:49
Corey Anderson,14,5,0,75.00,79.00,33,"Rockford, United States",46%,721 of 1558,50%,52 of 106,4.43,4.89,59%,0.09,2.22,0.00,83%,10:51
Andy Anderson,0,0,0,0.00,,58,United States,,,50%,52 of 106,,,,,,,,
Lowell Anderson,0,0,0,0.00,,,"Fairfield, United States",,,50%,52 of 106,,,,,,,,
Tatsuya Ando,0,0,0,,,,,,,50%,52 of 106,,,,,,,,00:00
Viscardi Andrade,19,7,0,72.00,75.00,39,"State of Sao Paulo, Brazil",42%,152 of 358,50%,,3.26,1.93,63%,0.64,2.77,0.32,67%,11:39
Alex Andrade,0,0,0,0.00,,49,United States,,,50%,,,,,,,,,
Jéssica Andrade,25,12,0,61.50,62.00,32,"Umuarama, Brazil",51%,1591 of 3132,55%,33 of 71,6.67,2.45,55%,0.44,5.36,0.38,72%,09:11
Jermaine Andre,0,0,0,0.00,,,"Collinsville, United States",,,55%,33 of 71,,,,,,,,
Juan Andres Luna,0,1,0,67.00,72.00,27,,32%,49 of 155,0%,,3.27,0.00,66%,0.00,3.00,0.00,,15:00
Dylan Andrews,18,7,0,73.00,74.00,43,Australia,50%,82 of 163,50%,,2.21,2.83,47%,1.21,2.72,0.40,57%,07:25
Reese Andy,7,3,0,70.00,,50,"Minot, United States",51%,64 of 126,20%,,2.87,0.67,59%,0.00,3.50,0.00,40%,11:10
Julius Anglickas,0,0,0,75.00,75.00,31,Lithuania,78%,62 of 79,50%,,4.62,4.47,51%,0.00,1.86,1.12,60%,13:25
Collin Anglin,8,3,0,69.00,71.00,30,"Southfield, United States",49%,121 of 249,67%,,4.59,2.28,51%,0.00,5.54,0.00,100%,08:47
Chad Anheliger,12,7,0,66.00,64.50,36,"Kelowna, Canada",42%,179 of 422,36%,,3.07,1.03,52%,0.77,3.55,0.77,48%,14:36
Yoji Anjo,0,0,0,71.00,,56,"Suginami Tokyo, United States",0%,0 of 1,0%,,0.00,0.00,25%,0.00,12.13,0.00,,02:58
Magomed Ankalaev,18,1,1,75.00,75.00,31,Russia,53%,498 of 947,31%,,3.56,1.07,59%,0.64,2.20,0.00,86%,11:40
Nina Nunes,11,7,0,65.00,64.00,37,"Weston, United States",45%,542 of 1200,33%,2 of 6,4.39,0.24,56%,0.00,3.47,0.49,74%,13:43
Gadzhimurad Antigulov,20,8,0,71.00,70.50,36,"Dagestan Republic, Russia",55%,43 of 78,37%,5 of 19,2.08,5.08,40%,0.00,4.21,1.45,,03:27
Adam Antolin,13,3,0,65.00,,41,"San Jose, United States",52%,86 of 165,0%,,5.73,0.00,69%,0.00,5.00,0.00,100%,05:45
Zu Anyanwu,14,5,0,73.00,77.00,41,"Trenton, United States",43%,57 of 133,100%,,2.47,0.65,69%,0.65,2.47,0.00,,11:32
Wang Anying,2,2,0,72.00,,32,United States,26%,13 of 50,,,1.32,0.00,45%,0.00,1.63,0.00,33%,04:55
Shinsho Anzai,10,2,0,67.00,70.50,37,"Saitama Prefecture, Japan",58%,106 of 182,16%,4 of 25,3.23,1.83,46%,0.00,3.75,0.00,75%,08:12
Aoriqileng,25,10,0,67.00,69.00,29,"Inner Mongolia, China",51%,339 of 667,47%,4 of 15,5.31,1.64,50%,0.47,5.56,0.00,59%,10:39
Josh Appelt,15,7,0,70.00,,40,"Tacoma, United States",40%,6 of 15,0%,,1.35,0.00,33%,0.00,11.50,0.00,33%,04:26
Romie Aram,6,0,0,69.00,,45,"Ontario, United States",34%,24 of 70,50%,,1.60,2.00,50%,1.00,5.67,0.00,83%,15:00
Felipe Arantes,18,9,1,68.00,73.00,35,"Sao Paulo, Brazil",45%,342 of 758,47%,9 of 19,2.37,0.93,64%,0.10,2.66,0.73,41%,12:03
Igor Araujo,25,8,0,73.00,77.00,42,United States,42%,80 of 190,16%,,1.52,0.86,50%,0.00,2.86,0.57,22%,13:08
Viviane Araújo,12,5,0,64.00,68.00,36,"Brasília, Brazil",48%,676 of 1423,46%,5 of 41,4.34,1.83,56%,0.10,5.19,0.67,78%,15:35
Julio Arce,18,6,0,67.00,70.00,33,"Miami, United States",36%,537 of 1486,31%,,4.38,0.49,68%,0.12,3.10,0.37,95%,12:16
Carrese Archer,,,,72.00,73.00,33,,,,31%,,,,,,,,,
Dan Argueta,9,1,0,67.00,68.00,30,United States,48%,111 of 233,50%,1 of 16,2.35,2.54,53%,0.00,1.90,1.90,60%,11:50
Rheza Arianto,0,0,0,,,22,"Malang, Indonesia",,,50%,1 of 16,,,,,,,,00:00
Hashem Arkhagha,0,1,0,74.00,75.00,33,,44%,8 of 18,,,1.84,0.00,43%,0.00,8.97,0.00,50%,04:21
Andrei Arlovski,34,22,0,75.00,77.00,44,United States,45%,1589 of 3515,37%,7 of 30,3.78,0.39,57%,0.43,3.20,0.21,77%,09:09
Garrett Armfield,9,3,0,66.00,70.00,26,"Eureka, United States",44%,66 of 149,0%,,5.29,0.00,57%,1.20,3.52,0.00,75%,06:15
Austin Arnett,16,6,0,72.00,72.00,31,"Lewiston, United States",41%,311 of 757,18%,1 of 11,4.52,0.44,62%,0.00,6.38,0.22,57%,13:46
Eli Aronov,0,1,0,,,27,Israel,69%,11 of 16,100%,,8.92,12.16,38%,0.00,6.49,0.00,,01:14
Akbarh Arreola,23,9,1,70.00,71.00,40,Mexico,45%,97 of 214,100%,,2.32,1.07,57%,0.72,4.01,0.36,33%,10:28
Matt Arroyo,3,3,0,72.00,,40,"Cobleskill, United States",47%,46 of 97,36%,,1.62,2.12,59%,0.00,2.01,5.29,100%,09:27
Antonio Arroyo,9,5,0,75.00,73.50,33,"Belém, Brazil",66%,186 of 280,42%,1 of 12,2.82,1.14,50%,0.23,2.02,0.23,42%,13:11
Cesar Arzamendia,7,4,0,71.00,71.00,32,Paraguay,45%,33 of 73,75%,,5.37,7.32,56%,0.00,5.20,2.44,,03:05
Teddy Ash,0,0,0,,,33,"Fort McMurray, Canada",62%,109 of 177,,,7.27,0.00,28%,0.00,6.80,0.00,100%,15:00
Arman Ashimov,0,0,0,,,31,Kazakhstan,62%,109 of 177,,,,,,,,,,00:00
Yanal Ashmouz,7,1,0,69.00,69.00,28,Israel,42%,50 of 118,50%,1 of 2,3.08,0.92,59%,0.00,5.35,0.00,50%,08:08
Askar Askar,11,1,0,67.00,69.00,28,,,,50%,1 of 2,,,,,,,,00:00
Askar Askarov,14,1,1,66.00,67.00,30,"Republic of Dagestan, Russia",54%,229 of 424,25%,4 of 53,3.05,2.60,58%,0.00,2.80,0.40,67%,15:00
Cyril Asker,9,4,0,72.00,74.00,37,"Avignon, France",39%,57 of 146,63%,5 of 8,3.35,4.41,36%,0.00,5.82,0.88,100%,03:24
Khusein Askhabov,23,1,0,68.00,69.00,28,"Grozny , Russia",26%,30 of 114,0%,,2.00,0.00,57%,0.00,4.13,0.00,67%,15:00
Scott Askham,14,4,0,75.00,75.00,35,"Pontefract, United Kingdom",46%,205 of 444,18%,,3.03,0.44,52%,0.89,3.52,0.67,65%,11:16
Ben Askren,19,2,0,71.00,72.00,38,"Cedar Rapids, United States",49%,63 of 128,56%,1 of 9,3.64,4.33,36%,0.00,5.66,0.87,,05:46
Ibo Aslan,1,0,0,,,27,Turkey,72%,21 of 29,,,8.87,0.00,64%,6.34,3.38,0.00,,02:22
Tom Aspinall,14,3,0,77.00,78.00,30,"Salford, United Kingdom",67%,134 of 201,100%,2 of 4,7.72,3.46,66%,3.46,2.77,1.73,100%,02:10
Bruno Assis,0,0,0,74.00,,31,"Belo Horizonte, Brazil",43%,19 of 44,50%,,1.27,2.00,37%,0.00,3.20,1.00,67%,15:00
Raphael Assunção,28,10,0,65.50,66.50,40,Brazil,43%,969 of 2280,39%,13 of 84,3.22,1.65,67%,0.15,2.50,0.25,78%,12:32
Junior Assuncao,14,5,0,69.00,,,"Recife, Brazil",63%,143 of 228,24%,,3.31,2.43,44%,0.35,2.06,0.70,67%,08:38
Rich Attonito,10,5,0,70.00,74.00,46,"Elizabeth, United States",48%,138 of 288,38%,,2.28,0.74,59%,0.50,2.13,0.00,75%,12:07
Olivier Aubin-Mercier,12,5,0,69.00,70.50,34,"Montreal, Canada",51%,363 of 705,34%,23 of 68,2.48,2.36,56%,0.21,2.97,0.51,71%,12:11
Pat Audinwood,9,2,1,72.00,,37,"Cortland, United States",13%,22 of 170,50%,,1.17,0.80,41%,0.00,4.31,0.00,,09:24
Jose Augusto,0,0,0,,,31,,,,50%,,,,,,,,,00:00
Leonardo Augusto Leleco,11,3,0,72.00,73.00,41,"Salvador, Brazil",56%,70 of 125,,,2.35,0.00,45%,0.00,2.99,1.01,53%,14:53
Marcus Aurelio,18,8,0,70.00,,49,"Fortaleza, Brazil",33%,153 of 459,14%,,2.36,1.16,60%,0.23,5.59,0.70,28%,10:48
Chris Avila,5,4,0,70.00,72.00,30,"Stockton, United States",30%,71 of 233,0%,,2.37,0.00,49%,0.00,4.17,0.00,46%,15:00
Julia Avila,9,3,0,67.00,68.00,35,"Los Angeles, United States",44%,145 of 331,33%,,2.59,0.54,51%,0.27,2.86,0.27,50%,11:11
Jessin Ayari,16,6,0,72.00,73.50,31,"Nuremberg, Germany",38%,163 of 432,0%,,3.53,0.00,59%,0.00,3.59,0.32,50%,11:33
Ottman Azaitar,13,2,0,68.00,71.00,33,"Rabat, Morocco",52%,67 of 130,,,5.73,0.00,48%,1.28,4.96,0.00,100%,02:55
Abu Azaitar,14,4,1,69.00,76.00,37,"Rabat, Morocco",43%,197 of 453,38%,1 of 8,4.38,1.00,51%,0.00,4.32,0.00,43%,14:59
Hunter Azure,9,2,0,68.00,70.50,31,"Poplar, United States",53%,269 of 507,35%,,3.92,1.97,59%,0.22,2.08,1.31,68%,13:44
Niklas Backstrom,8,2,0,73.00,74.00,33,Sweden,42%,23 of 55,80%,,1.12,2.92,40%,0.00,3.65,2.19,73%,06:51
Seth Baczynski,18,11,0,75.00,74.00,41,United States,32%,310 of 982,17%,,3.08,0.89,51%,0.30,3.14,0.75,48%,09:09
Abdul Azeem Badakhshi,0,0,0,,,27,"Badakhshan, Afghanistan",,,17%,,,,,,,,,00:00
Ryan Bader,22,5,0,74.00,74.00,40,United States,43%,577 of 1332,44%,,2.82,3.37,72%,0.51,1.39,0.44,81%,10:14
Izabela Badurek,5,3,0,64.00,65.00,31,United States,71%,32 of 45,13%,,3.74,1.75,32%,0.00,4.90,0.00,100%,08:34
Miguel Baeza,10,3,0,74.00,74.50,30,"Fort Lauderdale, United States",49%,332 of 673,29%,1 of 7,4.88,0.44,54%,1.10,5.10,1.77,100%,09:43
Ali Bagautinov,14,5,0,65.00,65.00,38,Russia,42%,323 of 761,37%,,2.85,2.51,52%,0.26,3.09,0.26,65%,16:13
Mehdi Baghdad,11,4,0,73.00,75.00,38,"La Seyne-sur-Mer, France",31%,61 of 198,0%,,3.13,0.00,46%,0.77,4.56,0.00,33%,09:45
Melsik Baghdasaryan,8,2,0,69.00,70.00,31,Armenia,61%,311 of 508,0%,,5.28,0.00,58%,0.25,3.06,0.00,73%,11:46
Siyar Bahadurzada,24,8,1,71.00,72.50,39,"Kabul, Afghanistan",41%,264 of 648,62%,5 of 13,2.91,1.32,49%,0.83,3.23,0.33,63%,11:20
Ignacio Bahamondes,14,5,0,75.00,75.50,25,"Santiago Metropolitan Region, Chile",46%,551 of 1195,0%,,6.97,0.00,57%,0.38,4.36,0.38,85%,13:11
Shamar Bailey,12,5,0,69.00,,40,United States,20%,78 of 383,33%,,1.56,1.50,70%,0.00,3.91,0.00,38%,12:58
Scott Baker,0,0,0,0.00,,,United States,,,33%,,,,,,,,,
Oluwale Bamgbose,6,4,0,71.00,78.00,35,United States,48%,78 of 162,33%,,2.45,0.94,55%,0.94,2.70,0.00,38%,06:22
Marcin Bandel,13,4,0,70.00,70.00,,"Pabianice, Poland",50%,6 of 12,0%,,0.79,0.00,23%,0.00,5.26,0.00,,03:48
Humberto Bandenay,14,7,0,71.00,71.50,28,Peru,42%,69 of 165,46%,,2.22,2.90,41%,0.48,4.79,0.48,63%,07:46
Tae Hyun Bang,18,10,0,69.00,71.00,40,South Korea,38%,166 of 433,33%,2 of 6,2.72,0.49,66%,0.74,2.07,0.49,58%,12:11
Shauna Bannon,5,1,0,65.00,65.00,29,"Dublin, Ireland",38%,54 of 144,0%,,3.60,0.00,38%,0.00,3.73,0.00,33%,15:00
Antonio Banuelos,19,7,0,63.00,,43,United States,33%,449 of 1349,62%,,2.69,1.62,59%,0.45,3.15,0.36,87%,11:56
Renan Barao,36,9,0,66.00,70.00,36,"Natal, Brazil",37%,952 of 2592,42%,19 of 60,3.78,1.49,58%,0.24,3.90,0.54,91%,13:14
