name,nickname,wins_x,losses_x,draws_x,height_x,weight_x,reach_x,stance_x,dOB_x,sig_strikes_landed_per_min_x,sig_striking_accuracy_%_x,sig_strike_absorbed_per_min_x,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_x,takedown_average(average_takedown_landed_per_fifteen_min)_x,takedown_accuracy_%_x,takedown_defense(%_of_opponent_takedown_not_landed)_x,sub_average(average_subs_attempted_per_15_mins)_x,wins_y,losses_y,draws_y,height_y,reach_y,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time,_merge,wins,losses,draws,height,weight_y,reach,stance_y,dOB_y,sig_strikes_landed_per_min_y,sig_striking_accuracy_%_y,sig_strike_absorbed_per_min_y,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_y,takedown_average(average_takedown_landed_per_fifteen_min)_y,takedown_accuracy_%_y,takedown_defense(%_of_opponent_takedown_not_landed)_y,sub_average(average_subs_attempted_per_15_mins)_y
AJ Cunningham,The Savage,10.0,3.0,0,"5' 10""",145 lbs.,"71""",Orthodox,7-Sep-94,7.58,24%,11.32,54%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,10,3,0,"5' 10""",145 lbs.,"71""",Orthodox,7-Sep-94,7.58,24%,11.32,54%,0.0,0%,0%,0.0
AJ Dobson,-,7.0,2.0,0 (1 NC),"6' 1""",185 lbs.,"76""",Orthodox,18-Jan-92,4.38,47%,5.25,47%,1.82,75%,64%,0.3,,,,,,,,,,,,,,,,,,,,left_only,7,2,0 (1 NC),"6' 1""",185 lbs.,"76""",Orthodox,18-Jan-92,4.38,47%,5.25,47%,1.82,75%,64%,0.3
AJ Fonseca,-,5.0,4.0,0,"5' 4""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,5,4,0,"5' 4""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
AJ Matthews,-,8.0,7.0,0,"5' 11""",185 lbs.,--,,--,5.11,52%,4.96,51%,0.0,0%,100%,0.0,,,,,,,,,,,,,,,,,,,,left_only,8,7,0,"5' 11""",185 lbs.,--,,--,5.11,52%,4.96,51%,0.0,0%,100%,0.0
AJ McKee,Mercenary,8.0,0.0,0,"5' 10""",145 lbs.,--,,--,2.75,32%,0.92,80%,11.01,100%,100%,11.0,,,,,,,,,,,,,,,,,,,,left_only,8,0,0,"5' 10""",145 lbs.,--,,--,2.75,32%,0.92,80%,11.01,100%,100%,11.0
AJ Siscoe,Let's Go,1.0,2.0,0,"5' 7""",135 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,1,2,0,"5' 7""",135 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Aalon Cruz,-,8.0,4.0,0,"6' 0""",145 lbs.,"78""",Switch,20-Sep-89,7.58,39%,8.88,58%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,8,4,0,"6' 0""",145 lbs.,"78""",Switch,20-Sep-89,7.58,39%,8.88,58%,0.0,0%,0%,0.0
Aaron Brink,-,26.0,26.0,0 (2 NC),"6' 3""",205 lbs.,--,Orthodox,12-Nov-74,3.49,42%,5.71,57%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,26,26,0 (2 NC),"6' 3""",205 lbs.,--,Orthodox,12-Nov-74,3.49,42%,5.71,57%,0.0,0%,0%,0.0
Aaron Ely,The Cyborg,5.0,2.0,0,"5' 8""",135 lbs.,--,,18-Mar-89,0.82,15%,0.66,69%,2.47,100%,50%,4.9,,,,,,,,,,,,,,,,,,,,left_only,5,2,0,"5' 8""",135 lbs.,--,,18-Mar-89,0.82,15%,0.66,69%,2.47,100%,50%,4.9
Aaron Jeffery,-,10.0,3.0,0,"6' 2""",185 lbs.,"73""",Orthodox,14-Nov-92,3.1,45%,4.46,34%,0.0,0%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,10,3,0,"6' 2""",185 lbs.,"73""",Orthodox,14-Nov-92,3.1,45%,4.46,34%,0.0,0%,50%,0.0
Aaron Lanfranco,-,5.0,1.0,0,--,155 lbs.,--,,26-Aug-86,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,5,1,0,--,155 lbs.,--,,26-Aug-86,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Aaron Miller,Blood Spiller,14.0,10.0,0 (1 NC),"5' 9""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,14,10,0 (1 NC),"5' 9""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Aaron Riley,-,30.0,14.0,1,"5' 8""",155 lbs.,"69""",Southpaw,9-Dec-80,3.45,34%,3.78,61%,1.18,34%,60%,0.1,,,,,,,,,,,,,,,,,,,,left_only,30,14,1,"5' 8""",155 lbs.,"69""",Southpaw,9-Dec-80,3.45,34%,3.78,61%,1.18,34%,60%,0.1
Aaron Rosa,-,18.0,6.0,0,"6' 4""",205 lbs.,"77""",Orthodox,28-May-83,4.03,47%,4.41,45%,0.36,33%,85%,0.4,,,,,,,,,,,,,,,,,,,,left_only,18,6,0,"6' 4""",205 lbs.,"77""",Orthodox,28-May-83,4.03,47%,4.41,45%,0.36,33%,85%,0.4
Aaron Trujillo,-,0.0,1.0,0,"5' 5""",125 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,1,0,"5' 5""",125 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Aaron Wetherspoon,Slam,9.0,5.0,0 (1 NC),--,170 lbs.,--,,--,2.27,32%,4.33,45%,0.0,0%,77%,0.0,,,,,,,,,,,,,,,,,,,,left_only,9,5,0 (1 NC),--,170 lbs.,--,,--,2.27,32%,4.33,45%,0.0,0%,77%,0.0
Abdul Azeem Badakhshi,The Afghan Lion,13.0,3.0,0,--,145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,13,3,0,--,145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Abdul Razak Alhassan,-,12.0,6.0,0,"5' 10""",185 lbs.,"73""",Orthodox,11-Aug-85,3.37,48%,3.99,55%,0.89,38%,50%,0.2,,,,,,,,,,,,,,,,,,,,left_only,12,6,0,"5' 10""",185 lbs.,"73""",Orthodox,11-Aug-85,3.37,48%,3.99,55%,0.89,38%,50%,0.2
Abdul-Kareem Al-Selwady,Pride of Palestine,15.0,3.0,0,"5' 8""",155 lbs.,"69""",Orthodox,10-Apr-95,4.6,28%,3.6,61%,1.0,16%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,15,3,0,"5' 8""",155 lbs.,"69""",Orthodox,10-Apr-95,4.6,28%,3.6,61%,1.0,16%,0%,0.0
Abdul-Kerim Edilov,-,17.0,4.0,0,"6' 2""",205 lbs.,--,Orthodox,25-Nov-91,10.22,61%,0.13,92%,3.98,100%,0%,2.0,,,,,,,,,,,,,,,,,,,,left_only,17,4,0,"6' 2""",205 lbs.,--,Orthodox,25-Nov-91,10.22,61%,0.13,92%,3.98,100%,0%,2.0
Abel Cullum,The Silent Assassin,20.0,6.0,0,"5' 7""",139 lbs.,--,Orthodox,21-Apr-87,1.82,40%,1.23,46%,4.01,52%,0%,2.8,,,,,,,,,,,,,,,,,,,,left_only,20,6,0,"5' 7""",139 lbs.,--,Orthodox,21-Apr-87,1.82,40%,1.23,46%,4.01,52%,0%,2.8
Abongo Humphrey,-,7.0,3.0,0,"5' 11""",205 lbs.,--,Orthodox,--,1.45,40%,3.83,46%,1.41,37%,33%,3.8,,,,,,,,,,,,,,,,,,,,left_only,7,3,0,"5' 11""",205 lbs.,--,Orthodox,--,1.45,40%,3.83,46%,1.41,37%,33%,3.8
Abram Torres,-,4.0,3.0,0,"5' 10""",170 lbs.,--,,29-Oct-82,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,4,3,0,"5' 10""",170 lbs.,--,,29-Oct-82,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Abubakar Nurmagomedov,-,17.0,4.0,1,"5' 11""",170 lbs.,"72""",Orthodox,13-Nov-89,2.78,53%,2.61,65%,1.25,22%,88%,0.0,,,,,,,,,,,,,,,,,,,,left_only,17,4,1,"5' 11""",170 lbs.,"72""",Orthodox,13-Nov-89,2.78,53%,2.61,65%,1.25,22%,88%,0.0
Abus Magomedov,-,25.0,6.0,1,"6' 2""",185 lbs.,"78""",Orthodox,2-Sep-90,3.73,42%,5.36,54%,0.61,50%,100%,0.0,,,,,,,,,,,,,,,,,,,,left_only,25,6,1,"6' 2""",185 lbs.,"78""",Orthodox,2-Sep-90,3.73,42%,5.36,54%,0.61,50%,100%,0.0
Acacio Dos Santos,Pequeno,14.0,5.0,0,"6' 4""",205 lbs.,"79""",Orthodox,29-Sep-91,1.27,41%,1.4,43%,0.0,0%,31%,0.0,,,,,,,,,,,,,,,,,,,,left_only,14,5,0,"6' 4""",205 lbs.,"79""",Orthodox,29-Sep-91,1.27,41%,1.4,43%,0.0,0%,31%,0.0
Achilles Estremadura,-,7.0,1.0,0,"5' 10""",155 lbs.,"68""",Orthodox,11-Mar-92,3.2,43%,3.27,70%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,7,1,0,"5' 10""",155 lbs.,"68""",Orthodox,11-Mar-92,3.2,43%,3.27,70%,0.0,0%,0%,0.0
Achmed Labasanov,-,7.0,4.0,0,"6' 3""",215 lbs.,--,Orthodox,24-Apr-78,0.75,39%,1.1,46%,3.0,100%,0%,0.8,,,,,,,,,,,,,,,,,,,,left_only,7,4,0,"6' 3""",215 lbs.,--,Orthodox,24-Apr-78,0.75,39%,1.1,46%,3.0,100%,0%,0.8
Adam Cella,El Naturel,6.0,8.0,0,"6' 2""",170 lbs.,--,,26-Jun-85,1.91,42%,2.61,51%,3.92,75%,50%,1.3,,,,,,,,,,,,,,,,,,,,left_only,6,8,0,"6' 2""",170 lbs.,--,,26-Jun-85,1.91,42%,2.61,51%,3.92,75%,50%,1.3
Adam Fugitt,-,9.0,4.0,0,"6' 1""",170 lbs.,"77""",Southpaw,12-Jan-89,4.3,54%,5.13,48%,3.43,33%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,9,4,0,"6' 1""",170 lbs.,"77""",Southpaw,12-Jan-89,4.3,54%,5.13,48%,3.43,33%,50%,0.0
Adam Khaliev,-,6.0,0.0,0,"6' 0""",170 lbs.,--,Orthodox,16-Apr-84,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,0,0,"6' 0""",170 lbs.,--,Orthodox,16-Apr-84,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Adam Lynn,-,17.0,10.0,0 (1 NC),"5' 10""",155 lbs.,--,Orthodox,--,1.47,63%,6.95,10%,0.0,0%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,17,10,0 (1 NC),"5' 10""",155 lbs.,--,Orthodox,--,1.47,63%,6.95,10%,0.0,0%,50%,0.0
Adam Meredith,-,5.0,3.0,0,"6' 2""",170 lbs.,--,,--,2.63,50%,2.11,55%,7.89,100%,100%,7.9,,,,,,,,,,,,,,,,,,,,left_only,5,3,0,"6' 2""",170 lbs.,--,,--,2.63,50%,2.11,55%,7.89,100%,100%,7.9
Adam Milstead,The Prototype,8.0,4.0,0,"6' 3""",205 lbs.,"76""",Orthodox,3-Jul-87,3.85,46%,4.79,43%,0.0,0%,64%,0.0,,,,,,,,,,,,,,,,,,,,left_only,8,4,0,"6' 3""",205 lbs.,"76""",Orthodox,3-Jul-87,3.85,46%,4.79,43%,0.0,0%,64%,0.0
Adam Piccolotti,-,9.0,0.0,0,"5' 11""",155 lbs.,--,,23-Oct-88,4.61,50%,2.83,71%,2.96,60%,100%,3.0,,,,,,,,,,,,,,,,,,,,left_only,9,0,0,"5' 11""",155 lbs.,--,,23-Oct-88,4.61,50%,2.83,71%,2.96,60%,100%,3.0
Adam Schindler,-,10.0,6.0,0,"5' 8""",155 lbs.,--,,19-May-83,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,10,6,0,"5' 8""",155 lbs.,--,,19-May-83,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Adam Smith,-,0.0,3.0,0,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,3,0,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Adam Steele,-,0.0,1.0,0,--,170 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,1,0,--,170 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Adam Yandiev,Boroda,9.0,1.0,0,"5' 9""",185 lbs.,"74""",Orthodox,7-Aug-88,0.18,8%,6.14,36%,0.0,0%,25%,0.0,,,,,,,,,,,,,,,,,,,,left_only,9,1,0,"5' 9""",185 lbs.,"74""",Orthodox,7-Aug-88,0.18,8%,6.14,36%,0.0,0%,25%,0.0
Adin Duenas,-,6.0,1.0,0,"5' 6""",145 lbs.,--,,2-Jul-88,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,1,0,"5' 6""",145 lbs.,--,,2-Jul-88,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Adli Edwards,-,4.0,1.0,0,--,145 lbs.,--,,28-Aug-89,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,4,1,0,--,145 lbs.,--,,28-Aug-89,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Adrian Diaz,-,11.0,4.0,1,"5' 10""",145 lbs.,--,Southpaw,26-Apr-88,0.48,42%,3.84,51%,2.4,50%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,11,4,1,"5' 10""",145 lbs.,--,Southpaw,26-Apr-88,0.48,42%,3.84,51%,2.4,50%,0%,0.0
Adrian Serrano,-,56.0,29.0,4,"5' 8""",170 lbs.,--,,23-Dec-63,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,56,29,4,"5' 8""",170 lbs.,--,,23-Dec-63,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Adrian Yanez,-,16.0,5.0,0,"5' 7""",135 lbs.,"70""",Orthodox,29-Nov-93,6.15,39%,5.73,57%,0.0,0%,100%,0.0,,,,,,,,,,,,,,,,,,,,left_only,16,5,0,"5' 7""",135 lbs.,"70""",Orthodox,29-Nov-93,6.15,39%,5.73,57%,0.0,0%,100%,0.0
Adriano Martins,-,28.0,9.0,0,"5' 10""",155 lbs.,"72""",Southpaw,16-Dec-82,1.8,38%,2.14,65%,0.83,80%,81%,0.4,,,,,,,,,,,,,,,,,,,,left_only,28,9,0,"5' 10""",155 lbs.,"72""",Southpaw,16-Dec-82,1.8,38%,2.14,65%,0.83,80%,81%,0.4
Adriano Santos,-,0.0,1.0,0,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,1,0,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Adrienna Jenkins,AJ,19.0,6.0,0,"5' 8""",145 lbs.,--,,22-Jul-81,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,19,6,0,"5' 8""",145 lbs.,--,,22-Jul-81,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Ahmad Hassanzada,Lion of the Ring,10.0,2.0,0,"6' 1""",155 lbs.,"75""",Orthodox,20-Nov-96,2.59,34%,4.42,40%,2.5,22%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,10,2,0,"6' 1""",155 lbs.,"75""",Orthodox,20-Nov-96,2.59,34%,4.42,40%,2.5,22%,0%,0.0
Aiemann Zahabi,-,10.0,2.0,0,"5' 8""",135 lbs.,"68""",Orthodox,19-Nov-87,3.04,43%,3.4,72%,0.25,16%,75%,0.0,,,,,,,,,,,,,,,,,,,,left_only,10,2,0,"5' 8""",135 lbs.,"68""",Orthodox,19-Nov-87,3.04,43%,3.4,72%,0.25,16%,75%,0.0
Ailiya Muratbek,-,9.0,2.0,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,9,2,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Aji Susilo,-,6.0,4.0,0,"5' 10""",155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,4,0,"5' 10""",155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Akihiro Gono,-,35.0,21.0,8,"5' 7""",170 lbs.,"68""",Switch,7-Oct-74,2.18,48%,2.67,63%,1.01,84%,46%,0.5,,,,,,,,,,,,,,,,,,,,left_only,35,21,8,"5' 7""",170 lbs.,"68""",Switch,7-Oct-74,2.18,48%,2.67,63%,1.01,84%,46%,0.5
Akihito Tanaka,Kinniku Mantaro,2.0,2.0,0,--,--,--,Southpaw,--,0.19,50%,2.05,38%,5.59,66%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,2,2,0,--,--,--,Southpaw,--,0.19,50%,2.05,38%,5.59,66%,0%,0.0
Akira Corassani,-,12.0,6.0,0 (1 NC),"5' 8""",145 lbs.,"68""",Orthodox,27-Aug-82,3.25,45%,4.91,50%,0.7,28%,86%,0.0,,,,,,,,,,,,,,,,,,,,left_only,12,6,0 (1 NC),"5' 8""",145 lbs.,"68""",Orthodox,27-Aug-82,3.25,45%,4.91,50%,0.7,28%,86%,0.0
Akira Kikuchi,-,16.0,4.0,0,"5' 8""",155 lbs.,--,Orthodox,23-Jul-78,3.67,56%,0.4,14%,2.0,40%,100%,0.0,,,,,,,,,,,,,,,,,,,,left_only,16,4,0,"5' 8""",155 lbs.,--,Orthodox,23-Jul-78,3.67,56%,0.4,14%,2.0,40%,100%,0.0
Akira Shoji,-,14.0,17.0,5,"5' 8""",195 lbs.,--,Orthodox,31-Jan-74,1.03,34%,2.63,53%,1.79,73%,82%,0.4,,,,,,,,,,,,,,,,,,,,left_only,14,17,5,"5' 8""",195 lbs.,--,Orthodox,31-Jan-74,1.03,34%,2.63,53%,1.79,73%,82%,0.4
Akiyo Nishiura,Wicky Akiyo,13.0,8.0,1,"5' 8""",139 lbs.,--,Southpaw,8-Aug-83,1.59,57%,1.26,57%,0.0,0%,52%,0.3,,,,,,,,,,,,,,,,,,,,left_only,13,8,1,"5' 8""",139 lbs.,--,Southpaw,8-Aug-83,1.59,57%,1.26,57%,0.0,0%,52%,0.3
Al Matavao,Sweetness,8.0,3.0,0,"5' 8""",205 lbs.,"67""",Orthodox,23-Feb-94,7.84,46%,6.7,58%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,8,3,0,"5' 8""",205 lbs.,"67""",Orthodox,23-Feb-94,7.84,46%,6.7,58%,0.0,0%,0%,0.0
Alan Gomez,-,2.0,0.0,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,2,0,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Alan Hiro,Yamaniha,14.0,5.0,4,"5' 5""",135 lbs.,--,Orthodox,4-Apr-86,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,14,5,4,"5' 5""",135 lbs.,--,Orthodox,4-Apr-86,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Alan Omer,-,20.0,5.0,0,"5' 10""",145 lbs.,--,Orthodox,14-Sep-88,3.49,55%,2.21,64%,1.69,42%,66%,0.0,,,,,,,,,,,,,,,,,,,,left_only,20,5,0,"5' 10""",145 lbs.,--,Orthodox,14-Sep-88,3.49,55%,2.21,64%,1.69,42%,66%,0.0
Alavutdin Gadjiev,-,18.0,13.0,1,"6' 2""",185 lbs.,--,Orthodox,23-Jun-82,0.99,27%,0.99,57%,0.0,0%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,18,13,1,"6' 2""",185 lbs.,--,Orthodox,23-Jun-82,0.99,27%,0.99,57%,0.0,0%,50%,0.0
Albert Cheng,-,7.0,4.0,0,"5' 11""",170 lbs.,--,Orthodox,7-Feb-85,1.0,41%,2.6,71%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,7,4,0,"5' 11""",170 lbs.,--,Orthodox,7-Feb-85,1.0,41%,2.6,71%,0.0,0%,0%,0.0
Albert Duraev,-,16.0,5.0,0,"5' 11""",185 lbs.,"75""",Orthodox,5-Jan-89,2.99,40%,3.01,59%,1.97,29%,66%,0.6,,,,,,,,,,,,,,,,,,,,left_only,16,5,0,"5' 11""",185 lbs.,"75""",Orthodox,5-Jan-89,2.99,40%,3.01,59%,1.97,29%,66%,0.6
Albert Morales,The Warrior,7.0,4.0,1,"5' 9""",135 lbs.,"72""",Orthodox,25-May-91,3.81,35%,3.96,56%,0.91,35%,70%,0.2,,,,,,,,,,,,,,,,,,,,left_only,7,4,1,"5' 9""",135 lbs.,"72""",Orthodox,25-May-91,3.81,35%,3.96,56%,0.91,35%,70%,0.2
Albert Rios,-,13.0,6.0,0,"5' 8""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,13,6,0,"5' 8""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Alberta Cerra Leon,-,0.0,1.0,0,"5' 8""",238 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,1,0,"5' 8""",238 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Alberto Crane,-,15.0,5.0,0,"5' 5""",155 lbs.,--,Orthodox,14-Jul-76,0.43,25%,2.61,57%,0.0,0%,50%,4.0,,,,,,,,,,,,,,,,,,,,left_only,15,5,0,"5' 5""",155 lbs.,--,Orthodox,14-Jul-76,0.43,25%,2.61,57%,0.0,0%,50%,4.0
Alberto Mina,Soldier of God,13.0,1.0,0,"6' 0""",170 lbs.,"77""",Orthodox,2-May-82,3.23,38%,3.7,47%,1.85,20%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,13,1,0,"6' 0""",170 lbs.,"77""",Orthodox,2-May-82,3.23,38%,3.7,47%,1.85,20%,50%,0.0
Alberto Montes,The Promise,4.0,0.0,0,"5' 7""",135 lbs.,--,,31-May-94,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,4,0,0,"5' 7""",135 lbs.,--,,31-May-94,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Alberto Uda,-,12.0,2.0,0,"6' 3""",185 lbs.,--,Orthodox,8-Aug-84,1.79,52%,3.49,45%,2.83,50%,66%,0.0,,,,,,,,,,,,,,,,,,,,left_only,12,2,0,"6' 3""",185 lbs.,--,Orthodox,8-Aug-84,1.79,52%,3.49,45%,2.83,50%,66%,0.0
Alejandro Flores,El Gallito,17.0,3.0,0,"5' 10""",145 lbs.,"73""",Orthodox,6-Aug-91,3.66,40%,2.02,54%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,17,3,0,"5' 10""",145 lbs.,"73""",Orthodox,6-Aug-91,3.66,40%,2.02,54%,0.0,0%,0%,0.0
Alejandro Garcia,Alex,14.0,10.0,0 (1 NC),"5' 7""",145 lbs.,--,,--,1.22,62%,1.14,65%,8.55,87%,66%,0.0,,,,,,,,,,,,,,,,,,,,left_only,14,10,0 (1 NC),"5' 7""",145 lbs.,--,,--,1.22,62%,1.14,65%,8.55,87%,66%,0.0
Alejandro Perez,Turbo,23.0,9.0,1,"5' 6""",135 lbs.,"67""",Orthodox,2-Sep-89,3.45,35%,3.18,61%,0.54,22%,70%,0.3,,,,,,,,,,,,,,,,,,,,left_only,23,9,1,"5' 6""",135 lbs.,"67""",Orthodox,2-Sep-89,3.45,35%,3.18,61%,0.54,22%,70%,0.3
Alejandro Villalobos,-,17.0,5.0,0,"5' 7""",145 lbs.,--,,26-Oct-79,3.93,46%,4.07,67%,1.0,50%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,17,5,0,"5' 7""",145 lbs.,--,,26-Oct-79,3.93,46%,4.07,67%,1.0,50%,0%,0.0
Aleksa Camur,-,6.0,3.0,0,"6' 1""",205 lbs.,"74""",Orthodox,25-Sep-95,4.73,57%,4.26,54%,0.46,22%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,3,0,"6' 1""",205 lbs.,"74""",Orthodox,25-Sep-95,4.73,57%,4.26,54%,0.46,22%,50%,0.0
Aleksandar Rakic,-,14.0,3.0,0,"6' 4""",205 lbs.,"78""",Orthodox,6-Feb-92,4.01,50%,2.3,53%,0.82,25%,90%,0.2,,,,,,,,,,,,,,,,,,,,left_only,14,3,0,"6' 4""",205 lbs.,"78""",Orthodox,6-Feb-92,4.01,50%,2.3,53%,0.82,25%,90%,0.2
Aleksander Emelianenko,-,23.0,7.0,0,"6' 6""",255 lbs.,--,Orthodox,2-Aug-81,2.75,41%,1.7,65%,2.32,72%,66%,0.9,,,,,,,,,,,,,,,,,,,,left_only,23,7,0,"6' 6""",255 lbs.,--,Orthodox,2-Aug-81,2.75,41%,1.7,65%,2.32,72%,66%,0.9
Aleksandra Albu,Stitch,3.0,2.0,0,"5' 2""",115 lbs.,"63""",Orthodox,14-Jul-90,4.83,47%,5.56,38%,2.27,50%,77%,0.4,,,,,,,,,,,,,,,,,,,,left_only,3,2,0,"5' 2""",115 lbs.,"63""",Orthodox,14-Jul-90,4.83,47%,5.56,38%,2.27,50%,77%,0.4
Aleksei Kunchenko,-,20.0,2.0,0,"5' 8""",170 lbs.,"70""",Orthodox,2-May-84,3.67,44%,2.83,63%,0.25,33%,80%,0.0,,,,,,,,,,,,,,,,,,,,left_only,20,2,0,"5' 8""",170 lbs.,"70""",Orthodox,2-May-84,3.67,44%,2.83,63%,0.25,33%,80%,0.0
Alen Amedovski,-,8.0,4.0,0,"5' 10""",185 lbs.,"74""",Orthodox,6-Apr-88,0.99,30%,3.85,46%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,8,4,0,"5' 10""",185 lbs.,"74""",Orthodox,6-Apr-88,0.99,30%,3.85,46%,0.0,0%,0%,0.0
Alex Andrade,El Toro,10.0,5.0,0,"5' 11""",200 lbs.,--,Orthodox,14-May-74,0.2,36%,2.6,53%,0.0,0%,25%,0.8,,,,,,,,,,,,,,,,,,,,left_only,10,5,0,"5' 11""",200 lbs.,--,Orthodox,14-May-74,0.2,36%,2.6,53%,0.0,0%,25%,0.8
Alex Crispin,-,0.0,1.0,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,1,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
